:Data_list: 20120613_Gp_xr_1m.txt
:Created: 2012 Jun 14 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 13  0000   56091      0     5.13e-08    1.51e-06
2012 06 13  0001   56091     60     4.81e-08    1.47e-06
2012 06 13  0002   56091    120     4.18e-08    1.39e-06
2012 06 13  0003   56091    180     3.58e-08    1.32e-06
2012 06 13  0004   56091    240     3.12e-08    1.26e-06
2012 06 13  0005   56091    300     2.86e-08    1.22e-06
2012 06 13  0006   56091    360     2.62e-08    1.18e-06
2012 06 13  0007   56091    420     2.45e-08    1.15e-06
2012 06 13  0008   56091    480     2.34e-08    1.12e-06
2012 06 13  0009   56091    540     2.15e-08    1.09e-06
2012 06 13  0010   56091    600     1.90e-08    1.06e-06
2012 06 13  0011   56091    660     1.75e-08    1.04e-06
2012 06 13  0012   56091    720     1.63e-08    1.01e-06
2012 06 13  0013   56091    780     1.51e-08    9.91e-07
2012 06 13  0014   56091    840     1.39e-08    9.57e-07
2012 06 13  0015   56091    900     1.01e-08    9.34e-07
2012 06 13  0016   56091    960     9.06e-09    9.04e-07
2012 06 13  0017   56091   1020     8.17e-09    8.84e-07
2012 06 13  0018   56091   1080     5.13e-09    8.62e-07
2012 06 13  0019   56091   1140     5.33e-09    8.42e-07
2012 06 13  0020   56091   1200     9.21e-09    8.32e-07
2012 06 13  0021   56091   1260     8.40e-09    8.22e-07
2012 06 13  0022   56091   1320     7.29e-09    8.07e-07
2012 06 13  0023   56091   1380     4.98e-09    7.89e-07
2012 06 13  0024   56091   1440     7.37e-09    7.74e-07
2012 06 13  0025   56091   1500     5.35e-09    7.55e-07
2012 06 13  0026   56091   1560     4.68e-09    7.50e-07
2012 06 13  0027   56091   1620     5.18e-09    7.59e-07
2012 06 13  0028   56091   1680     1.33e-08    8.37e-07
2012 06 13  0029   56091   1740     2.78e-08    1.01e-06
2012 06 13  0030   56091   1800     2.57e-08    1.05e-06
2012 06 13  0031   56091   1860     2.18e-08    1.02e-06
2012 06 13  0032   56091   1920     1.89e-08    1.00e-06
2012 06 13  0033   56091   1980     2.22e-08    1.03e-06
2012 06 13  0034   56091   2040     4.11e-08    1.22e-06
2012 06 13  0035   56091   2100     1.04e-07    1.75e-06
2012 06 13  0036   56091   2160     9.97e-08    1.92e-06
2012 06 13  0037   56091   2220     6.59e-08    1.64e-06
2012 06 13  0038   56091   2280     4.71e-08    1.42e-06
2012 06 13  0039   56091   2340     4.11e-08    1.33e-06
2012 06 13  0040   56091   2400     2.70e-08    1.18e-06
2012 06 13  0041   56091   2460     2.19e-08    1.09e-06
2012 06 13  0042   56091   2520     1.64e-08    1.02e-06
2012 06 13  0043   56091   2580     1.48e-08    9.73e-07
2012 06 13  0044   56091   2640     1.48e-08    9.56e-07
2012 06 13  0045   56091   2700     1.53e-08    9.38e-07
