:Data_list: 20120630_Gp_xr_1m.txt
:Created: 2012 Jul 01 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 30  0000   56108      0     8.25e-09    6.17e-07
2012 06 30  0001   56108     60     7.64e-09    6.00e-07
2012 06 30  0002   56108    120     7.79e-09    5.86e-07
2012 06 30  0003   56108    180     6.47e-09    5.72e-07
2012 06 30  0004   56108    240     2.58e-09    5.52e-07
2012 06 30  0005   56108    300     1.41e-09    5.44e-07
2012 06 30  0006   56108    360     1.81e-09    5.44e-07
2012 06 30  0007   56108    420     1.93e-09    5.42e-07
2012 06 30  0008   56108    480     3.64e-09    5.41e-07
2012 06 30  0009   56108    540     4.95e-09    5.57e-07
2012 06 30  0010   56108    600     5.73e-09    5.72e-07
2012 06 30  0011   56108    660     6.37e-09    5.77e-07
2012 06 30  0012   56108    720     7.48e-09    5.86e-07
2012 06 30  0013   56108    780     6.94e-09    5.88e-07
2012 06 30  0014   56108    840     6.32e-09    5.80e-07
2012 06 30  0015   56108    900     8.02e-09    5.81e-07
2012 06 30  0016   56108    960     6.67e-09    5.80e-07
2012 06 30  0017   56108   1020     4.87e-09    5.69e-07
2012 06 30  0018   56108   1080     4.06e-09    5.54e-07
2012 06 30  0019   56108   1140     5.02e-09    5.37e-07
2012 06 30  0020   56108   1200     3.05e-09    5.23e-07
2012 06 30  0021   56108   1260     2.18e-09    5.16e-07
2012 06 30  0022   56108   1320     1.63e-09    5.07e-07
